chinese,count,korean,english
高虹安,244,가오훙안,kao hung-an
台灣國,244,대만국,republic of taiwan
柯建銘,243,커젠밍,ko chien-ming
鄧小平,243,덩샤오핑,Deng Xiao-ping
民心,243,민심,public sentiment
海洋,243,바다,Oceans
太陽,243,태양,Sun
軍售,242,군납 판매,arms sales
國防委員會,242,국방위원회,national defense committee
證券,242,증권,Securities
蔣介石,241,장제스,chiang kai-shek
國產,240,국산,domestic production
工人,240,노동자,workers
來台,239,대만에 오다,come to taiwan
信號,239,신호,signal
儀式,238,의식,ceremony
專題,238,연구 프로젝트,research project
金馬,238,진먼-마주,kinmen-matsu
輕症,238,경증,mild illness
死亡率,238,사망률,mortality rate
龍頭,238,우두머리,the head of a group
蒙古,238,몽골,mongolia
核准,236,허가하다,approve
作品,236,작품,Works
處境,236,처지,situation
關切,236,관심주다,concern
索羅門群島,236,솔로몬 제도,Solomon Islands
實驗室,236,실험실,laboratory
邱志偉,234,추즈웨이,chiu chih-wei
金山,234,진산,jinshan
林穎孟,233,린잉멍,lin ying-meng
汪洋,233,넓은 바다,vast ocean
兒子,232,아들,son
中國大陸,232,중국대륙,Mainland China
產經,232,산업경제,industrial economy
莊人祥,232,장런샹,chuang jen-hsiang
中央政府,231,중앙 정부,central government
中國軍,231,중국군대,chinese military
行政部,230,행정부,Department of Administration
住宅,230,주택,housing
霸權,230,패권,Hegemony
明白,229,이해,understand
外匯,229,외국환,Foreign exchange
林俊憲,228,린쥔셴,lin chun-hsien
整理,228,정리,arrange
中東,228,중동,Middle East
市值,228,시가총액,market capitalization
願景,228,희망,vision
警覺,228,경각하다,be on one's guard
邦交,227,국교,diplomatic relations
林昶佐,227,린창쭤,lim tshiong-tso
大戰,227,대전,Great war
宗教,227,종교,religion
羅一鈞,226,뤄이쥔,lo yi-chun
語言,226,언어,Language
義務役,226,병역의무,compulsory service
排隊,226,줄을 서다.,line up
檢方,226,검찰측,prosecution
回家,225,귀가,go back home
盟國,225,동맹국,Allies
強權,225,강권,powerful power
前線,225,최전선,frontline
島國,225,섬나라,Island countries
榮譽,225,영광,honor
專利,225,특허,Patents
協力,225,협력,cooperation
公眾,225,공중,the public
地帶,224,지대,region
廠區,224,공장부지,factory premises
生物,223,생물,living things
雷根,223,로널드 레이건,Ronald Reagan
獨裁者,223,독재자,Dictator
債券,223,채권,Bond
強勢,222,세다,strong
住院,222,입원,hospitalization
場所,221,장소,place
彈藥,221,탄약,ammunition
匯率,221,환율,Exchange rate
全數,220,전수,whole amount
江蘇,220,장쑤성,Jiangsu Province
廣場,220,광장,plaza
條文,220,조문,provision
曾銘宗,220,쩡밍종,Tseng Ming-chung
同志,219,동지,comrade
次長,219,차장,associate director
醫療量,218,의료량,amount of medical care
朱鳳蓮,218,주퐁롄,Zhu Feng-lian
言行,218,언행,words and behavior
西太平洋,218,서태평양,Western Pacific Ocean
文旦,218,포멜로,Pomello
灰色,217,회색,gray
火力,217,화력,firepower
契機,217,계기,opportunity
框架,217,틀,Frameworks
成長,217,성장하다.,grow
保台,216,대만을 보호하다,protect Taiwan
中正,216,장개석,Chiang Kai-shek
地下,216,지하,underground
心態,216,심리 상태,mentality
