chinese,count,korean,english
方艙,25,팡창병원,mobile cabin hospital
補貼,25,보조금,Subsidies
受害者,25,피해자,Victims
航點,25,운항 노선,destination
消失,25,사라지다.,disappear
風暴,25,폭풍,Storm
獎金,25,상금,prize
醫護人員,25,의료요원,Medical staff
柯建銘,25,커젠밍,ko chien-ming
陸媒,25,대륙매체,China's media
規格,25,규격,standard
試劑,25,시약,reagent
林伯豐,25,린보펑,Lin Bo-feng
商務,25,상업적 업무,Commercial activities
儀式,25,의식,ceremony
唾液,25,침,saliva
感染率,25,감염률,Infection rate
層級,25,층계,hierarchical
徐定禎,25,쉬딩전,Hsu Ting-chen
國籍,25,국적,nationality
陸生,25,육생,terrestrial
彈性,25,탄성,flexibility
購物,25,쇼핑,Shopping
凌濤,25,링타오,Ling Tao
基因,25,유전자,Gene
地鐵,25,지하철,Subway
定義,25,정의,Definitions
產量,25,생산량,Production capacity
暴力,25,폭력,Violence
場邊,25,코트사이드,courtside
強度,25,강도,intensity
主軸,24,주축,the main axis
狗,24,개,dog
太空,24,우주,space
危害,24,해를 끼치다,harm
舞台,24,무대,stage
大力,24,힘껏,vigorously
航空公司,24,항공사,Airlines (disambiguation)
設施,24,시설,Facilities
站台,24,편을 들어주다,stand up for
收益,24,수익,Earnings
縣府,24,현청,prefectural government
變局,24,변화,changed situation
牌,24,패,card
曼谷,24,방콕,Bangkok
捷克,24,체코,Czech Republic
關切,24,관심주다,concern
電信,24,통신,telecommunication
營業額,24,매출액,sales revenue
事項,24,사항,item
基輔,24,키예프,kiev
熱情,24,열정적,enthusiastic
掌權,24,권력을 잡다,come to power
藥局,24,약국,pharmacy
塔吉克,24,타지크,Republic of Tajikistan
立陶宛,24,리투아니아,Republic of Lithuania
核子,24,핵,nucleon
殯儀館,24,장례식장,funeral parlor
兒子,24,아들,son
限度,24,한도,limit
海域,24,해역,sea area
山西,24,산시 성,Shanxi Province
浙江,24,쩌장,zhejiang province
祖國,24,조국,one's country
悼念,24,애도하다,pay one's respects
時段,24,시간대,time period
答案,24,답안,Answer
爭議,24,분쟁,controversy
乙管,24,을관,second tube
動能,23,운동에너지,kinetic energy
主因,23,주원인,main cause
密集,23,밀집하다.,dense
大白,23,,
碼頭,23,,
謠言,23,,
純益,23,순이익,net profit
國產,23,국산,domestic production
服役,23,복역,serve in military
遊戲,23,게임,game
藉口,23,핑계,excuse
性別,23,성별,sex
生技,23,,
病,23,병,disease
全球化,23,세계화,Globalization
生效,23,효력 발생,Entry into force
效率,23,능률,efficiency
接班人,23,후계자,successor
美商,23,미국 기업,American company
原廠,23,,
利空,23,약세,bearish
