chinese,count,korean,english
東風,301,동풍,east wind
福祉,300,복지,welfare
企業家,299,기업가,entrepreneurs
國際組織,299,국제 기구,International organizations
伺服器,299,서버,Server
警戒,298,경계하다,alert
南京,298,난징,Nanjing
戰書,298,도전장,written challenge to war
馬曉光,298,마샤오광,Ma Xiaoguang
季辛吉,297,헨리 키신저,Henry Kissinger
原料,297,원료,raw material
平民,297,서민,Civilian
案件,296,사건,Cases
金磚,295,BRICS,BRICS
商機,295,상업 기회,business opportunity
政經,294,정경,politics and economics
廣東,294,광둥,Guangdong
面會,293,직접 만나다,meet
士兵,292,사병,Soldier
花蓮縣,292,화롄현,Hualien County
強國,291,강대국,a powerful nation
規格,291,규격,standard
答案,290,답안,Answer
劉德音,290,류더인,Mark Liu
邊界,290,경계선,border
創業,290,창업하다,start a business
網絡,289,네트워크,Network
捷克,289,체코,Czech Republic
友誼,289,우정,Friendship
幹部,289,간부,cadres
深度,288,깊이,depth
地帶,287,지대,region
通報,286,통보하다,notice
風暴,285,폭풍,Storm
經理人,285,매니저,manager
藍綠,285,남색녹색,blue-green
嚴正,284,엄정하다,strict
互利,283,호혜,mutually beneficial
職務,283,직무,Duties
效益,283,효과와 이익,benefit
宣告,282,선언하다,declare
戴琪,282,캐서린 타이,Katherine Tai
市值,282,시가총액,market capitalization
澳門,281,마카오,Macao
暴力,281,폭력,Violence
文物,280,문물,cultural artifact
收益,280,수익,Earnings
陳其邁,280,천치마이,Chen Chi-mai
燃料,279,연료,fuel
雷達,279,레이더,Radar
國力,278,국력,national strength
東方,278,동방,East
方略,278,전략,strategy
道德,278,도덕,Morality
畢業,277,졸업,graduate
市議員,277,시의원,city councilor
名義,276,명목,nominal
訪團,276,방문단,visiting delegation
前途,276,앞길,future
鄭寶清,276,정바오칭,Cheng Pao-ching
經濟區,276,경제 구역,Economic zone
王美花,276,왕메이화,Wang Mei-hua
高官,275,높은 관직,a high-ranking official
表面,275,겉모습,surface
聯合軍,275,연합군,Allied Forces
費用,275,비용,Cost
社交,275,사교,socializing
高虹安,274,가오훙안,kao hung-an
邱國正,274,추궈정,chiu kuo-cheng
大事,274,대사,significant event
彈性,273,탄성,flexibility
神山,273,TSMC (신산),TSMC (the Holy Mountain)
早報,273,조간신문,morning paper
東協,273,ASEAN,ASEAN
用戶,272,이용자,user
醫學,272,의학,medical science
中資,271,중국 자본,chinese capital
立院,270,입법원,the legislative yuan
動向,268,동향,trend
金馬,267,진먼-마주,kinmen-matsu
憲章,267,헌장,Charter
群島,267,군도,archipelago
蕭美琴,266,샤오메이친,bi-khim hsiao
吸引力,265,흡입력,pulling power
例子,265,예시,example
事項,265,사항,item
聯合,264,연합,united
宏觀,264,거시적,Macro-perspective
北美,264,북미,North America
曼谷,264,방콕,Bangkok
漁民,263,어민,fishermen
戰火,263,전쟁의 불씨,flames of war
民心,263,민심,public sentiment
課題,263,과제,assignment
身份,263,신분,status
榮譽,263,영광,honor
降溫,263,식히다,cool down
病人,263,환자,patient
灰色,262,회색,gray
政壇,262,정치계,political areas
敵意,262,적의,hostility
南華,261,난화,Nanhua (대학인지 경서인지 확실하지 않음)
道理,261,도리,reason
外商,260,,
軍援,260,군사지원,military support
候選人,260,후보자,candidates
