chinese,korean,english
林昶佐,린창쭤,lim tshiong-tso
鄉親,마을 사람,villager
龐皮歐,마이크 폼페오,michael pompeo
馬祖,마주,matsu
媒報,매체 보도,media coverage
莫德納,모더나,moderna vaccine
蒙古,몽골,mongolia
無症,무증상,asymptomatic
武肺,무한폐렴,wuhan virus
藝文,문예,arts and literature
貨量,물량,volume of goods
波及,미치다,affect
民防,민방위,civil defence
民心,민심,public sentiment
民怨,민원,popular discontent
民主化,민주화,democratization
法院,법원,courts of justice
北京市,베이징시,beijing city
變種,변이,variant
律師,변호사,lawyer
病,병,disease
染病,병에 걸리다,infected
義務役,병역의무,compulsory service
衛生局,보건국,public health bureau
保險,보험,insurance
紅色,붉은색,red
秘密,비밀,secret
秘書,비서,secretary
大樓,빌딩,building
死亡率,사망률,mortality rate
山東,산둥,shandong province
產經,산업경제,industrial economy
上海市,상하이 시,shanghai city
產值,생산액,output value
蕭美琴,샤오메이친,bi-khim hsiao
船舶,선박,ship
謝志偉,셰즈웨이,hsieh chih-wei
友邦,수교국,country with diplomatic relations
手法,수법,trick
外銷,수출,export
瑞士,스위스,switzerland
全市,시 전체,the whole city
時代力量,시대역량,new power party
西安,시안,xi-an
試劑,시약,reagent
食藥,식약,food and medicine
上路,실행되다,put in action
實驗室,실험실,laboratory
四川,쓰촨,sichuan province
兒子,아들,son
陽性,양성,positive
漁民,어민,fishermen
漁船,어선,fishing boat
旅館,여관,hotel accommodation
專題,연구 프로젝트,research project
聯絡,연락하다,contact
藝人,연예인,entertainer
營業,영업,business operations
王定宇,왕딩위,wang ting-yu
高喊,외치다,shout
烏俄,우-러,ukrainian-russian
烏軍,우크라이나 군대,ukrainian army
信箱,우편함,mailbox
武漢,우한,wuhan
雲林縣,윈린현,yunlin county
幼兒,유아,young children
流感,유행성 감기,influenza 
陰性,음성,negative result
食物,음식,food
醫師,의사,doctors
醫學,의학,medical science
宜蘭縣,이란 현,ilan county
立院,입법원,the legislative yuan
院會,입법원회의,the legislative yuan meeting
自民黨,자민당,liberal democratic party (ldp)
官兵,장교와 사병,officers and soldiers
莊人祥,장런샹,chuang jen-hsiang
江安,장안 현,jiang-an province
蔣介石,장제스,chiang kai-shek
江聰淵,장총위안,chiang tsung-yuan
財產,재산,property
財經,재정과 경제,finance and economy
居家,재택,stay-at-home
全台,전 대만,the whole taiwan
全校,전교,the whole school
鄭州,정저우,zhengzhou 
條例,조례,rules
宗教,종교,religion
罪,죄,crime
股東,주주,shareholder
住宅,주택,housing
排隊,줄을 서다.,line up
中資,중국 자본,chinese capital
中國海軍,중국 해군,chinese navy
中國軍,중국군대,chinese military
中山,중산,chung shan
中央政府,중앙 정부,central government
重症,중증,severe illness
症狀,증상,symptoms
仇恨,증오하다,hate
指揮官,지휘관,commander
職業,직업,occupation
金馬,진먼-마주,kinmen-matsu
金山,진산,jinshan
浙江,쩌장,zhejiang province
錄用,채용하다,hire
成都,청두,chengdu province
前線,최전선,frontline
邱國正,추궈정,chiu kuo-cheng
邱志偉,추즈웨이,chiu chih-wei
邱垂正,추추이정,chiu chui-cheng
邱太三,추타이산,chiu tai-shan
重慶,충칭,chongqing city
校園,캠퍼스,campus
柯建銘,커젠밍,ko chien-ming
柯志恩,커즈언,ko chih-en
貨櫃,컨테이너,container
昆山,쿤산,kunshan
台北,타이베이,taipei
天津,톈진시,tianjin city
西藏,티베트,tibet
鳳梨,파인애플,pineapple
檔案,파일,files
方艙,팡창병원,mobile cabin hospital
面板,패널,panel
站台,편을 들어주다,stand up for
爆料,폭로하다,expose
普廷,푸틴,putin
屏東縣,핑둥현,pingtung county
眾議員,하원 의원,Representative
韓國瑜,한궈위,han kuo-yu
航艦,항함,airship
特首,행정장관,chief executive
核准,허가하다,approve
河南,허난 성,henan province
縣府,현청,prefectural government
洪秀柱,홍슈주,hung hsiu-chu
患者,환자,patient
候選人,후보자,candidates
福島,후쿠시마,fukushima
街道,거리,street
街頭,거리,street
國門,국경,borders
國葬,국장,state funeral
群體,단체,groups
李德,리더,Li Te
院所,병원,hospitals
離島,섬,Outlying Islands
長者,어르신,elderly
老年人,어르신,elderly
遊客,여행객,tourists
醫生,의사,doctors
流程,절차,process
病人,환자,patient
聯電,UMC,United Microelectronics
感染率,감염률,Infection rate
強度,강도,intensity
狗,개,dog
開票,개표,vote counting
合約,계약,contract
客運,고속버스,express bus
空氣,공기,air
廠區,공장부지,factory premises
人群,군중,crowd
郭台銘,궈타이밍,Terry Gou
掌權,권력을 잡다,come to power
回家,귀가,go back home
群組,그룹,group
機器,기계,Machine
心情,기분,mood
黑道,깡패,gangster
雙標,내로남불,double standard
內政部,내정부,Ministry of the Interior
普萊斯,네드 프라이스,Ned Price
全黨,당 전체,the whole party
陸媒,대륙매체,China's media
道理,도리,reason
小區,동네,community
同仁,동료,colleagues
得票率,득표율,approval rate
丁薛祥,딩쉐샹,Ding Xue-xiang
連江縣,롄장현,Lianjiang County
蘇納克,리시 수낵,Rishi Sunak
林伯豐,린보펑,Lin Bo-feng
林飛帆,린페이판,Lin Fei-fan
凌濤,링타오,Ling Tao
慢性病,만성질환,chronic disease
病毒感染,바이러스에 감염되다,viral infection
房價,방값,housing prices
百姓,백성,civilians
兵團,병단,army corps
病房,병실,hospital room
役男,병역의무자,miliatry mandatory men
醫療量能,병원 커패시티,hospital's capacity
衛生組織,보건 기구,WHO
保護力,보호력,protection
福利,복지,Welfare
薪資,봉급,salary
不法,불법,illegal
死因,사망원인,causes of death
社會面,사회면,social area
山西,산시 성,Shanxi Province
獎金,상금,prize
商務,상업적 업무,Commercial activities
米歇爾,샤를 미셸,Charles Michel
碩士,석사,master
造勢,선거캠페인,campaign rally
領先,선두에 서다,take the lead
世衛,세계보건기구,World Health Organization
購物,쇼핑,Shopping
水產品,수산물,aquatic products
薛瑞元,쉐루이위안,Hsueh Jui-yuan
徐定禎,쉬딩전,Hsu Ting-chen
徐巧芯,쉬차오신,Hsu Chiao-hsin
滑雪,스키를 타다.,Skiing
遺體,시체,remains
矽谷,실리콘밸리,Silicon Valley
重度,심각한,severe
悼念,애도하다,pay one's respects
側翼,양측 날개,lateral wing
女王,여왕,queen
熱情,열정적,enthusiastic
榮譽,영광,honor
漲,오르다,rise
霸凌,왕따 시키다,bully
王滬寧,왕후닝,Wang Hu-ning
烏魯木齊,우루무치,Urumqi Municipality
吳思瑤,우스야오,Wu Szu-yao
航點,운항 노선,destination
猴痘,원숭이두창,monkeypox
衛健委,위생건강위원회,National Health Commission
風險區,위험지역,risk zone
基因,유전자,Gene
陸生,육생,terrestrial
乙管,을관,second tube
醫護人員,의료요원,Medical staff
席次,의석,seats
交代,인계,take over
人生,인생,life
人潮,인파,a crowd of people
入境者,입국자,overseas arrivals
住院,입원,hospitalization
趙春山,자오춘산,Chao Chun Shan
蔣孝嚴,장샤오옌,Chiang Hsiao-yen
場所,장소,place
全程,전 과정,the whole process
接種率,접종률,vaccination rate
政績,정치 업적,political achievement
政壇,정치계,political areas
澤連斯基,젤렌스키,Zelensky
小心,조심하다,be careful
中國國家衛健委,중국 국가 위생건강위원회,China's National Health Commission
中國國家衛生,중국 국가위생,Health in China
中國民眾,중국민중,Chinese citizens
中國會,중국회,Chinese Association of China
地震,지진,earthquake
地下,지하,underground
地鐵,지하철,Subway
家園,집,home
曾銘宗,쩡밍종,Tseng Ming-chung
車輛,차량,vehicles
落地,착지,landing
陳玉珍,천위전,Chen Yu-jen
體驗,체험,experience
補件,추가서류 제출,provide additional documents
丘以思,추이스유한회사,Choice Pharma
出境,출국,departure from a country
慈濟,츠지,Tzu Chi
親友,친척과 친구,relatives and friends
好友,친한 친구,a close friend
唾液,침,saliva
海線,코스털 노선,coastal line
場邊,코트사이드,courtside
台東,타이둥시,Taitung city
塔吉克,타지크,Republic of Tajikistan
彈性,탄성,flexibility
團團,투안투안 판다,Tuan-tuan panda
天安,티엔안,Tian-an
涵蓋率,포함률,coverage rate
血,피,blood
受害者,피해자,Victims
海珠,하이주,Haizhu
學位,학위,degree
限度,한도,limit
機票,항공권,Air tickets
航空器,항공기,aircraft
航空公司,항공사,Airlines (disambiguation)
海鮮,해산물,Seafood
核子,핵,nucleon
核能,핵에너지,Nuclear power
會場,행사장,venue
現金,현금,cash
火化,화장하다,cremation
胡春華,후춘화,Hu Chun-hua
印太地區,인도태평양 지역,Indo-Pacific region
義大利,이탈리아,Italy
大事,대사,significant event
早報,조간신문,morning paper
神山,TSMC (신산),TSMC (the Holy Mountain)
東協,ASEAN,ASEAN
用戶,이용자,user
動向,동향,trend
群島,군도,archipelago
憲章,헌장,Charter
例子,예시,example
吸引力,흡입력,pulling power
事項,사항,item
宏觀,거시적,Macro-perspective
曼谷,방콕,Bangkok
聯合,연합,united
北美,북미,North America
戰火,전쟁의 불씨,flames of war
身份,신분,status
降溫,식히다,cool down
課題,과제,assignment
敵意,적의,hostility
灰色,회색,gray
南華,난화,Nanhua (대학인지 경서인지 확실하지 않음)
軍援,군사지원,military support
文攻武嚇,문공무혁,Literary attack and force threats
協力,협력,cooperation
獨裁者,독재자,Dictator
彈藥,탄약,ammunition
廣場,광장,plaza
全數,전수,whole amount
條文,조문,provision
江蘇,장쑤성,Jiangsu Province
次長,차장,associate director
言行,언행,words and behavior
醫療量,의료량,amount of medical care
文旦,포멜로,Pomello
中正,장개석,Chiang Kai-shek
澤連斯基,젤렌스키,Zelensky
藥局,약국,pharmacy
殯儀館,장례식장,funeral parlor
變局,변화,changed situation
電信,통신,telecommunication
時段,시간대,time period
營業額,매출액,sales revenue
美商,미국 기업,American company
呼吸衰竭,호흡곤란,respiratory failure
接班人,후계자,successor
酚,페놀,Phenol
純益,순이익,net profit
利空,약세,bearish
性別,성별,sex
服役,복역,serve in military
動能,운동에너지,kinetic energy
